,Unnamed: 0,texts,questions,answers,urls
7675,7675,"What the Forestry for Fibre scheme is
How to qualify
Terms of the Scheme
Rates of payment
Apply
What the Forestry for Fibre scheme is 
The Forestry for Fibre scheme provides financial assistance to landowners who want to plant fast growing trees suitable for a range of purposes, including wood panel and fuel production.
Forestry for Fibre, an option within the Afforestation Scheme 2014-2020, plays an important role in Ireland’s transition to a low carbon future by supporting the production of sustainable and renewable wood fibre.
How to qualify 
You must be over 18 years of age and must hold a Personal Public Service Number to apply. Companies must provide their company registration details. You must be the owner, leaseholder or joint manager of the land at the time of the application. Read the terms of the scheme to see the limited exemptions to this rule .",What is the purpose of the Forestry for Fibre scheme?,The purpose of the Forestry for Fibre scheme is to provide financial assistance to landowners who want to plant fast growing trees suitable for wood panel and fuel production.,https://www.gov.ie/en/service/4f10d9-forestry-for-fibre/
270817,270817,"The Taoiseach was in Tarbert, Co Kerry, today (5 August 2022), along with the National Parks and Wildlife Service (NPWS), to release White-tailed Eagles into the wild. This is part of a long-term initiative to re-establish a population of this iconic, and once extinct, species in Ireland.
These white-tailed Eagle chicks arrived in Kerry Airport on Friday 1 July this year, as part of a long-term wildlife reintroduction project. The 2022 phase of this landmark collaboration, to restore a native bird to Irish skies, sees the release of sixteen young eagles at three sites across Munster, including Killarney National Park, Lough Derg and the lower Shannon estuary, with the first of these being released today by the Taoiseach in Tarbert, Co Kerry.
Releasing the eagles today the Taoiseach said:
“I have followed this project for a number of years now and watching the eagles take to the skies for the first time is something that will last long in the memory.",What did the Taoiseach say about the eagle release project?,"The Taoiseach said, 'I have followed this project for a number of years now and watching the eagles take to the skies for the first time is something that will last long in the memory.'",https://www.gov.ie/en/press-release/d2223-taoiseach-releases-white-tailed-sea-eagle-chicks-in-significant-biodiversity-initiative-to-restore-a-native-and-once-extinct-bird-to-irish-skies/
241413,241413,"A Cheann Comhairle, President Zelenskyy,
Ireland is resolute in our solidarity and support for Ukraine.
We thank you for your heartfelt, honest address to this parliament this morning.
The strength of your commitment, and that of the people of Ukraine, to your country, and to restoring its place as a free, safe, democratic and independent country within the community of nations is both humbling and uplifting.
We heard grave testimony from you [President Zelenskyy] this morning, and we have seen ourselves the most harrowing of images from Bucha, from Irpin, from Mariupol, and from across Ukraine.
Russia will have to live with the shame of what they have done in Ukraine for generations. Those responsible will be held to account. We are with Ukraine and I am certain that, in the end, Ukraine will prevail.
We are a militarily neutral country. However, we are not politically neutral in the face of war crimes. Quite the opposite.",What is Ireland's stance on Ukraine?,Ireland is resolute in its solidarity and support for Ukraine.,https://www.gov.ie/en/speech/c9ae3-response-by-the-taoiseach-micheal-martin-to-statement-president-of-ukraine-volodymyr-zelenskyy-joint-sitting-houses-of-the-oireachtas/
314830,314830,"secondly, proposed section 16B sets out comprehensively the various persons who are under a duty to report a mandatory reportable death to the coroner. Reporting does not mean the death would automatically be subject to a post-mortem examination or an inquest. A doctor reporting the death to the coroner must indicate whether he or she is satisfied, in the circumstances, to certify that the death was due to natural causes. Where no cause for concern arises, such a certificate is sufficient under the Coroners Act. The section also updates the penalties for failing to report a reportable death
Section 7 updates section 17 of the Principal Act to provide that an inquest is mandatory if the person has died in State custody or detention, and also in all cases of maternal death or late maternal death.",What does a doctor reporting a death to the coroner need to indicate?,"A doctor reporting the death to the coroner needs to indicate whether he or she is satisfied, in the circumstances, to certify that the death was due to natural causes.",https://www.gov.ie/en/speech/f8cfe7-coroners-amendment-bill-2018-second-stage-dail-eireann/
139463,139463,"Reference : FOI Request 20/199
Request : 1. The coordination of response to the Covid19 pandemic between the two jurisdictions on the island of Ireland.
2. The adoption of an aligned Covid19 strategy between the two jurisdictions on the island of Ireland.
3. Specifically, the adoption of an aligned “Zero Covid19” strategy between the two jurisdictions on the island of Ireland.
Replied : November 27, 2020
Reply 20/199
Schedule 20/199",When was the reply to FOI Request 20/199 sent?,"The reply to FOI Request 20/199 was sent on November 27, 2020.",https://www.gov.ie/en/publication/cc789-foi-request-20199/
221961,221961,"This important work is being championed by the Department of Rural and Community Development and my colleagues Minister Humphreys and Minister of State O’Brien.
The completion of this project will mark an important milestone in strengthening the relationship between the state and the community and voluntary sector.
I know that our shared aim it that these agreed values and principles will help foster an ever-greater culture of mutual respect and understanding as Government works with you to meet the challenges we face as a society.
And I know that they will also be of great benefit as we collaborate to assist those affected by the Ukrainian crisis.
More and more, policymakers and others are recognising the breadth and reach of the Community and Voluntary Sector and its value, not just in supporting our country’s social fabric but also in its significant economic contribution.",What are the shared values and principles mentioned in the text?,The shared values and principles mentioned in the text aim to foster a culture of mutual respect and understanding as the government collaborates with the community.,https://www.gov.ie/en/speech/b0e8e-speech-by-the-taoiseach-micheal-martin-td-at-the-wheel-national-summit-2022/
273364,273364,"Commission on Taxation and Welfare 
Commission on the Defence Forces 
Commission to Inquire into Child Abuse 
Commissioners of Irish Lights 
Competition and Consumer Protection Commission (CCPC) 
Cork City Council 
Cork County Council 
Cork Education and Training Board 
Cork Institute of Technology 
Crawford Art Gallery 
Criminal Injuries Compensation Scheme 
Criminal Law Codification Advisory Committee 
Data Protection Commission 
Defence Forces of Ireland 
Dental Council 
Department of Agriculture, Food and the Marine 
Department of Children, Equality, Disability, Integration and Youth 
Department of Defence 
Department of Education 
Department of Enterprise, Trade and Employment 
Department of Finance 
Department of Foreign Affairs 
Department of Further and Higher Education, Research, Innovation and Science 
Department of Health 
Department of Housing, Local Government and Heritage 
Department of Justice 
Department of Public Expenditure, NDP Delivery and Reform",What are the two councils mentioned in the text?,The two councils mentioned in the text are Cork City Council and Cork County Council.,https://www.gov.ie/en/search/?sort_by=published_date&type=speeches&page=12
60499,60499,"Chronology of applicant’s treatment, care and rehabilitation 
12. Following the incident, the Applicant was brought to [ ] Hospital by ambulance but was transferred onto [ ] Hospital, where he underwent surgery for a decompressive left sided craniectomy for an acute subdural hematoma and left temporal hematoma. The Applicant also underwent a tracheostomy. While recovering in ICU the Applicant suffered a chest infection and a subclinical seizure, for which he was put on antiepileptic medication. The Applicant remained in intensive care for some time but was later transferred to a ward where he commenced rehabilitation, including physiotherapy, prior to his discharge on [ ] back to [ ] Hospital.
13. The Applicant remained an in-patient at [ ] Hospital until the [ ], at which point he was discharged home. The Applicant’s [ ] who was employed as [ ] at the time of the attack, ceased employment on the [ ] to look after the Applicant.",What type of rehabilitation did the applicant receive?,"The applicant commenced rehabilitation, including physiotherapy, prior to his discharge.",https://www.gov.ie/en/publication/3faac-54015-29-september-2022/
165220,165220,"Forest Roads Decisions Report 31 August 2023
Forest Roads Decisions Report 30 August 2023
Forest Roads Decisions Report 29 August 2023
Forest Roads Decisions Report 28 August 2023
Forest Roads Decisions Report 25 August 2023
Forest Roads Decisions Report 24 August 2023
Forest Roads Decisions Report 23 August 2023
Forest Roads Decisions Report 22 August 2023
Forest Roads Decisions Report 21 August2023
Forest Roads Decisions Report 18 August2023
Forest Roads Decisions Report 17 August2023
Forest Roads Decisions Report 16 August2023
Forest Roads Decisions Report 15 August 2023
Forest Roads Decisions Report 14 August2023
Forest Roads Decisions Report 11 August2023
Forest Roads Decisions Report 10 August 2023
Forest Roads Decisions Report 09 August 2023
Forest Roads Decisions Report 08 August 2023
Forest Roads Decisions Report 04 August 2023
Forest Roads Decisions Report 03 August 2023
Forest Roads Decisions Report 02 August2023
Forest Roads Decisions Report 01 August2023","What is the date of the Forest Roads Decisions Report that was published on August 10, 2023?","The Forest Roads Decisions Report published on August 10, 2023, is available.",https://www.gov.ie/en/collection/385a6-forest-roads-decision-reports-august-2023/
77891,77891,"1. Six Monthly Oireachtas Report for the period January to June 2023
2. Six Monthly Oireachtas Report for the period July to December 2022
3. Six Monthly Oireachtas Report for the period January to June 2022
4. 2021
5. 2020
6. 2019
7. 2018
These reports set out details of current State Mining Leases, State Mining Licences and Prospecting Licences and the total amount of all moneys collected by the Minister under or by virtue of any such Lease or Licence or otherwise in connection with the Minerals Development Acts.
Six Monthly Oireachtas Report for the period January to June 2023 
This Report is compiled under Section 77 of the Minerals Development Act, 1940 and Section 8 of the Minerals Development Act, 1979.",What Acts are the Six Monthly Oireachtas Reports compiled under?,"The Six Monthly Oireachtas Reports are compiled under Section 77 of the Minerals Development Act, 1940 and Section 8 of the Minerals Development Act, 1979.",https://www.gov.ie/en/collection/d460d-six-monthly-reports-to-the-oireachtas-on-mineral-exploration-and-mining-in-ireland/
275985,275985,"Macroeconomic Framework 
Like many other countries, we are borrowing heavily to protect our people and the economy through the crisis. We expect to run a budget deficit this year of just over €21 billion. For next year, we envisage another large deficit of €20 billion.
Those who claim that this somehow proves that we should have been spending more anyway are fooling no one. A pandemic such as this has never before occurred in the modern global economy. It has changed short- and medium-term conditions dramatically.
In normal times, and were we alone in seeking to run deficits of this size, we would face immediate and serious problems. However, all countries in the euro area are running large budget deficits, so we are by no means an outlier in this regard – and nor do we want to be.
Critically, historically low interest rates and the reformed monetary conditions in the Eurozone give us an opportunity to make sustainable investments in a strong recovery.",Why would running large budget deficits be a problem in normal times?,Running large budget deficits would be a problem in normal times because we would face immediate and serious problems.,https://www.gov.ie/en/speech/b5b01-statement-of-an-taoiseach-budget-2021-dail-eireann/
364446,364446,"You should get adequate travel insurance before your journey. Check the liability limits for the airline you are travelling with beforehand.
Missing or damaged luggage
If your luggage is missing or damaged, you should:
1. Report the problem to the customer service desk of your airline
If your luggage does not arrive at the airport (or it is damaged or destroyed). Report the problem to the customer service desk of your airline. Check if the airline uses an online tracking system for luggage. Do this at the airport baggage claims hall.
2. Complete a Property Irregularity Report (PIR)
You should complete a Property Irregularity Report (PIR). The PIR will include details of your flight (for example, the airline, date, flight number and time), your luggage, your name, and your address. You will be given a copy of the PIR which you should keep, and the airline will keep the other copy.
3. Keep the luggage labels and your boarding card",How can you report the problem of missing or damaged luggage?,You can report the problem of missing or damaged luggage by checking if the airline uses an online tracking system for luggage and doing this at the airport baggage claims hall.,https://www.citizensinformation.ie/en/travel-and-recreation/air-travel/airline-liability/
25389,25389,"Відповідно до нової ініціативи, місцева влада прийматиме пропозиції будинків, квартир або дачних будинків для тимчасового розміщення, спілкуватиметься з власниками для оцінки придатності та організовуватиме їх використання людьми та сім’ями з України.
Місцева влада допомагатиме власникам нерухомості та людям з України, які отримають пропозиції щодо розміщення, в узгоджуванні подальших дій.
Власники нерухомості, які бажають запропонувати помешкання, мають зайти на сторінку gov.ie/offerahome або безпосередньо зв’язатися з місцевою владою, на території якої розташована нерухомість.
Виплати громадянам, що приймають людей з України 
Люди по всій Ірландії надали свої будинки в якості тимчасового житла людям, які тікають від конфлікту в Україні. На знак визнання їх щедрості уряд надає щомісячну виплату в розмірі 400 євро за кожне помешкання. Ця сума зросте до 800 євро з 1 грудня 2022 року.
Спільнота Open Community","What will be the increased amount of the monthly payment from December 1, 2022?","From December 1, 2022, the monthly payment will increase to 800 euros.",https://www.gov.ie/en/publication/37d69-how-people-can-help-ukrainian/
139968,139968,"Reference: FOI Request 19/311
All formal questions delivered to the Attorney General from DFAT regarding the legal basis for requiring a Public Services Card in order to apply for a passport in certain circumstances, dated between August 1st 2018 and August 31st 2018.
The date and time on which the questions were sent, authors of the delivered message(s), and the date and time of their receipt.
All meta-properties of any and all Microsoft Office files created in the drafting of those questions (eg creator, author, amendments, changes log etc).
Replied: November 26, 2019
Reply 19/311
Schedule 19/311",What is the date of the reply to the FOI request?,"The date of the reply to the FOI request is November 26, 2019.",https://www.gov.ie/en/publication/05d96-foi-request-19311/
362805,362805,"Your property is eligible for an LPT exemption or
You are claiming a deferral of LPT payment
If your property has never been registered for stamp duty or LPT, you first need to register the property with Revenue.
Where to apply
To view your LPT record and make your LPT return online, you can use your existing login details for myAccount or Revenue Online Service (ROS). Alternatively, you can log in directly to the LPT online service.
To log in to the LPT online service, you will need your Property ID and PIN which you can find on any LPT correspondence you have received from Revenue. You will also need your Personal Public Service Number (PPSN) or Tax Reference Number.
If you do not have your Property ID and PIN, you can use the LPT online service to request them.
You can contact the LPT helpline for help with the Local Property Tax. You can also send queries to Revenue through MyEnquiries.
More information
Previous rates that applied from 2013 to 2021
Local Property Tax",Where can I find my Property ID and PIN?,You can find your Property ID and PIN on any LPT correspondence you have received from Revenue.,https://www.citizensinformation.ie/en/money_and_tax/tax/housing_taxes_and_reliefs/local_property_tax.html
176698,176698,"""The Farm Plan Scheme supports and rewards farmers and land managers to deliver positive farm management on some of Ireland’s most important sites for biodiversity. The scheme has led to the creation of new solutions for nature conservation on farmland and delivers real benefits on the ground via direct action and positive changes in related policies. The scheme contributes as a significant part of Ireland’s wider efforts through agri-environmental schemes to address biodiversity loss. I greatly encourage eligible parties to get involved in this excellent scheme and make an application. I look forward to seeing a new group of farmers and land managers working with us to farm for nature in the coming years.”
How to apply 
Applications must be made using the NPWS Farm Plan Scheme application form. The application for is available via:
the NPWS website: https://www.npws.ie/farmers-and-landowners/schemes/npws-farm-plan-scheme",What is the purpose of the Farm Plan Scheme?,The purpose of the Farm Plan Scheme is to support and reward farmers and land managers in delivering positive farm management on important sites for biodiversity.,https://www.gov.ie/en/press-release/fb97f-npws-announces-call-for-new-farm-plan-scheme-participants-to-benefit-nature/
262073,262073,"An Administrative & Technical member of staff on posting is entitled to purchase one vehicle only, if accompanied or not. The purchase/import must take place within the first six months of taking up the posting.
A Diplomatic Mission is entitled to purchase one vehicle. Applications for an additional vehicle will be considered on a case by case basis by the Department once a business case for the additional vehicle has been submitted and accepted.
Purchase of a new motor vehicle in Ireland with exemption 
How to apply: To purchase a vehicle in Ireland with exemption from taxes a Diplomatic Mission/ eligible officer must submit a completed DIP 2 application form prior to purchasing the vehicle. A privileged person must be officially notified to Protocol Division as having arrived and taken up duty before an application can be considered. The DIP 2 form should be accompanied by a TPN from the Embassy requesting purchase with exemption and an invoice from the vendor/relevant garage.",What is the entitlement for an Administrative & Technical member of staff on posting regarding vehicle purchase?,"An Administrative & Technical member of staff on posting is entitled to purchase one vehicle only, whether accompanied or not. The purchase/import must take place within the first six months of taking up the posting.",https://www.gov.ie/en/publication/7ec60-guidelines-for-diplomatic-missions/
42744,42744,"7. The CHED provides a standardised format for documentation relating to declaration and checks for live animals arriving into the Union so that data on imported consignments can be properly managed and processed within TRACES NT, the EU's integrated veterinary traceability system.
Border Control 
1. All live animals from third countries require veterinary checks at their point of entry into the European Union, as listed in Annex I to Commission Implementing Regulation (EU) 2021/632.
2. EU harmonised import controls are carried out at an approved Border Control Post (BCP) that is designated to deal with that species of animal. The consignment may only enter Ireland through an approved Border Control Post (BCP) designated for that species.
3. There are three different types of designation:
b. U for ungulate animals
4. The following locations in Ireland have approved Border Control Posts in operation for live animals:",Which locations in Ireland have approved Border Control Posts for live animals?,The locations in Ireland that have approved Border Control Posts in operation for live animals are not mentioned in the provided text.,https://www.gov.ie/en/publication/76821-equine-animals/
299626,299626,"The Minister for Communications, Climate Action and Environment, Richard Bruton TD today (Thursday) announced that guidelines for key sectors will be published in the coming weeks, so that enterprise can embed sustainability and climate action into their business, as they reopen after COVID-19. The Minister today published the first set of these guidelines aimed at supporting SMEs in the construction industry to embed sustainability as they re-open after COVID-19. 
“The past few months have been extremely challenging for businesses. These guidelines will not only help enterprise to embed sustainability across their business, making them more resilient in the long-term, but will also be helpful in showing how to keep costs down which will be crucial over the coming period.”
The guidelines being published today will focus on the construction sector and will set out simple steps to help businesses save money by reducing water use, waste and energy, including:",What are some of the steps outlined in the guidelines?,"The guidelines will outline steps to help businesses save money by reducing water use, waste, and energy.",https://www.gov.ie/en/press-release/48dde-minister-bruton-publishes-climate-action-sustainability-guidelines-for-enterprise/
193125,193125,"National Shared Services Office 
National Standards Authority of Ireland (NSAI) 
National Transport Authority 
National Treasury Management Agency (NTMA) 
National Treatment Purchase Fund 
Northern and Western Regional Assembly 
Nursing and Midwifery Board of Ireland 
Oberstown Children Detention Campus 
Offaly County Council 
Office of Emergency Planning 
Office of Government Procurement 
Office of Ombudsman for Children 
Office of Ombudsman for the Defence Forces 
Office of Public Works 
Office of the Attorney General 
Office of the Comptroller and Auditor General 
Office of the Information Commissioner (OIC) 
Office of the Ombudsman 
Office of the Planning Regulator 
Office of the Protected Disclosures Commissioner (OPDC) 
Office of the Refugee Appeals Tribunal 
Office of the Revenue Commissioners 
Oifig Choimisinéir na dTeangacha Oifigúla 
Parole Board 
Pensions Council 
Pharmaceutical Society of Ireland 
Pobal 
Pre-Hospital Emergency Care Council (PHECC)",What is the role of the Office of the Ombudsman?,The Office of the Ombudsman is responsible for investigating complaints against public bodies.,https://www.gov.ie/en/search/?type=general_publications&organisation=department-of-finance&page=6
313102,313102,"Speech by Minister Catherine Martin on the Shared Island Initiative 
20 January 2022; Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media; Speech; 
Statement by Minister Rabbitte to Dáil Éireann on violence against women 
19 January 2022; Department of Health; Speech; 
Dáil statement by Minister for Justice Helen McEntee on violence against women 
19 January 2022; Department of Justice; Speech; 
Opening Statement of the Minister for Finance Paschal Donohoe to the Committee on Finance, Public Expenditure and Reform, and Taoiseach 
19 January 2022; Department of Finance; Speech; 
Speech by Tánaiste Leo Varadkar TD on the Local Enterprise Offices Annual Employment Figures 2021 
17 January 2022; Department of Enterprise, Trade and Employment; Speech; 
Taoiseach Micheál Martin: “The Handover of Dublin Castle, A Centenary Conference” 
15 January 2022; Department of the Taoiseach; Speech; 
Publication of Online Safety and Media Regulation Bill",What is the topic of the speech by Taoiseach Micheál Martin?,"The speech by Taoiseach Micheál Martin is about 'The Handover of Dublin Castle, A Centenary Conference' and was given on January 15, 2022.",https://www.gov.ie/en/search/?q=&sort_by=published_date&type=speeches&page=32
209569,209569,"Concerned by what it means for the partnership approach we want to see between the EU and the UK; concerned by the wider message it sends about a rules-based international order; and, most of all, concerned because it is neither in the interests of the people of Northern Ireland nor what they want.
The EU recognises that there have been genuine difficulties with aspects of the implementation of the Protocol. But we need to address these together. The EU has listened very carefully to the concerns of people in Northern Ireland.
It has already put forward practical proposals and I want to take a moment to thank Vice President Sefcovic for his very strong, engaged and constructive leadership of these efforts, and for his remarks last night.
I believe there is a path to an agreed way forward on outstanding issues regarding the Protocol if we keep our focus on addressing the real problems that affect people in Northern Ireland and on identifying pragmatic and operational solutions.",What wider message does the situation send about a rules-based international order?,The situation sends a message that goes against a rules-based international order.,https://www.gov.ie/en/speech/276bd-speech-by-the-taoiseach-micheal-martin-td-at-the-british-irish-association-conference-pembroke-college/
372661,372661,"Market developments
This includes bringing new companies into the Irish market and making sure that large companies do not have too great a share of the retail market.
Energy customer engagement
This includes checking that companies are not making it difficult to switch suppliers, are managing new connections and that contracts are fair and reasonable.
Energy customer protection
This includes checking that energy companies are telling their customers when they are in arrears, and that companies have plans in place to help customers who are in financial hardship. This also includes handling customer complaints.
How is Uisce Éireann (previously called Irish Water) regulated?
Uisce Éireann (previously called Irish Water) is responsible for the efficient supply of water to homes and businesses. Its main task is to operate and improve public water and wastewater systems in Ireland to provide safe, reliable and high quality services to customers.",What does market developments include?,Market developments include bringing new companies into the Irish market and ensuring a fair distribution of the retail market share.,https://www.citizensinformation.ie/en/consumer/utilities/regulation-of-utilities/
71455,71455,"“I am pleased therefore to announce that a Christmas Bonus Payment will be paid next week. This payment is designed to put more money in the pockets of our pensioners, carers, people with disabilities, widows and lone parents.
“I’m particularly pleased that this year’s Christmas Bonus will be extended to people on long-term Illness Benefit for the first time.
“The vast majority of people are on Illness Benefit for a very short period of time and then return to work however there are a small cohort of people with serious medical conditions who remain on the payment for longer periods of time.",What is the usual duration of Illness Benefit for most people?,"The usual duration of Illness Benefit for most people is a very short period of time, after which they return to work.",https://www.gov.ie/en/press-release/7f04c-minister-humphreys-announces-payment-details-for-christmas-bonus/
14561,14561,"Businesses arranging the disposal of waste on behalf of another company or waste producer.
Waste disposal operators or carriers arranging the disposal or recovery of waste not covered by their own licence.
A broker shares responsibility with the waste holders for the proper management of waste before and after its transfer and they are legally responsible for its proper handling and disposal. Guidance for brokers and registration and renewal forms are downloadable below.
Any person who arranges for the shipment of waste which is subject to the TFS Regulation and the Brokers and Dealers Regulation has a responsibility to use only a broker or dealer who is registered with the competent authority. Any person who contravenes these provisions shall be guilty of an offence.
For more information 
Brokers and Dealers Registration
National Transfrontier Shipment Office
Floor 2, Block B, Blackhall Walk
Guidance Document for Broker and Dealer Registration
Broker and Dealer Registration Form",What is the role of a broker in waste management?,A broker shares responsibility with the waste holders for the proper management of waste before and after its transfer. They are legally responsible for its proper handling and disposal.,https://www.gov.ie/en/service/cda14-waste-brokers-and-dealers-registration/
218883,218883,"Minister O’Gorman commented:
“Young people, including those who have participated in National Youth Assembly on Climate, have told us that climate justice is a key priority for them when it comes to tackling the climate emergency. Ireland is a world leader in dedicating funding specifically to enable young people to work together and within their communities on this vital issue.
“I have been really impressed by the range of innovative, collaborative and impactful initiatives designed and delivered by young people, youth workers and volunteers to date by means of this scheme.",What is the purpose of the funding dedicated by Ireland?,The purpose of the funding dedicated by Ireland is to enable young people to work together and within their communities on the vital issue of climate change.,https://www.gov.ie/en/press-release/77a8a-minister-ogorman-announces-funding-for-youth-climate-justice-projects-in-2023/
153532,153532,"Treaty series 
From Irish Treaty Series 
Treaty type: Bilateral
Party: Germany
Entered into force: 2 June 2011
Protocol amending the Convention between Ireland and the Federal Republic of Germany for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and Capital and to the Gewerbesteuer (Trade Tax) done at Berlin on 25 May 2010.
Protocol amending the Convention between Ireland and the Federal Republic of Germany for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income and Capital and to the Gewerbesteuer (Trade Tax) done at Berlin on 25 May 2010.
Irish Treaty Series: No. 15 of 2012",What is the treaty type?,The treaty type is bilateral.,https://www.gov.ie/en/treaty-series/e6672-protocol-amending-the-convention-between-ireland-and-the-federal-republic-of-germany-for-the-avoidance-of-double-taxation-and-the-prevention-of-fiscal-evasion-with-respect-to-taxes-on-income-and-capital-and-to-the-gewerbesteuer-trade-tax-done-at-berlin-on-25-may-2010/
218506,218506,"Professor Geoffrey Shannon, in his role as Special Rapporteur on Child Protection, last October published a report on a general consideration of the human rights issues that appear to arise in the wake of the discovery of juvenile human remains at the site of the former Mother and Baby Home in Tuam, County Galway. The Report can be accessed here. 
Tuam Legislation 
The preparation of legislation is a priority within the Department of Children and Youth Affairs with a new unit established for this task. Additional staff from other departments are expected to be assigned to the unit in the coming weeks.
Scoping of the legislation has commenced. There is no precedent for this kind of project in an Irish context, and it is vital that we get it right, in the interests of the survivors, relatives and the dignity of those buried at the site in Tuam.",Is there any precedent for the kind of project being undertaken in Tuam?,There is no precedent for this kind of project in an Irish context.,https://www.gov.ie/en/press-release/efd94f-statement-by-minister-katherine-zappone-tuam/
176830,176830,"Local Biodiversity Action Fund
Small Recording Grants
Notes
188 community projects across all 31 local authorities have received funding through the Local Biodiversity Action Fund (LBAF) 
LBAF projects include restoration, invasive species management, surveys, education and awareness projects 
all projects support the implementation of the National Biodiversity Action Plan 
Small Recording Grants scheme funds 67 local projects 
Malcolm Noonan, Minister of State for Heritage and Electoral Reform, has today announced a combined €2.7 million in funding for local biodiversity projects. Over €2.5 million is being awarded to local authorities to carry out biodiversity projects through the Local Biodiversity Action Fund (LBAF) and €193,000 is being granted to the natural history recording community through the Small Recording Grants scheme.
Local Biodiversity Action Fund",What types of projects are supported by the LBAF?,"The LBAF supports projects related to restoration, invasive species management, surveys, education, and awareness.",https://www.gov.ie/en/press-release/953f9-minister-noonan-announces-27-million-funding-for-local-biodiversity-projects/
103323,103323,"Policy information 
Co-ordination of Traveller Education
From Department of Education 
Published on 27 February 2020
Last updated on 3 December 2021
1. National Traveller and Roma Inclusion Strategy (NTRIS) 2017 - 2021
2. Action Plan for Increasing Traveller Participation in Higher Education 2019-2021
3. Report and Recommendations for a Traveller Education Strategy
4. Guidelines on Traveller Education in Second Level Schools – Published 2002
5. Survey of Traveller Education Provision–Published 2005
6. Out of the Shadows – Traveller & Roma Education: Voices from the Communities, published November 2021
7. Contact
National Traveller and Roma Inclusion Strategy (NTRIS) 2017 - 2021",When was the Survey of Traveller Education Provision published?,The Survey of Traveller Education Provision was published in 2005.,https://www.gov.ie/en/policy-information/531ef5-co-ordination-of-traveller-education/
36145,36145,"The Commission recommends that access to the State Pension should be on a flexible basis. 
The Commission recommends that a person may choose to defer access to the State Pension up to age 70, and receive a cost neutral actuarial increase in their State Pension payment. 
The Commission recommends that a person can continue to pay social insurance contributions past State Pension age at their existing PRSI contribution rate (employees, employers and the self-employed) to improve their social insurance record for State Pension Contributory purposes. 
These PRSI contributions will enable individuals without a full contribution record (and who have deferred access to the State Pension) to become entitled to the State Pension Contributory, or increase the pension rate of payment, as a consequence of the additional paid contributions.",What does the Commission recommend regarding access to the State Pension?,The Commission recommends that access to the State Pension should be on a flexible basis.,https://www.gov.ie/en/publication/6cb6d-report-of-the-commission-on-pensions/
248675,248675,"External Oversight Body of the Defence Forces 
Financial Services and Pensions Ombudsman (FSPO) 
Fingal County Council 
Food Safety Authority of Ireland (FSAI) 
Food Safety Promotion Board (safefood) 
Foras na Gaeilge - An Foras Teanga (The Language Body) 
Forensic Science Ireland 
Fáilte Ireland 
Gaisce (President's National Challenge Award) 
Galway and Roscommon Education and Training Board 
Galway City Council 
Galway County Council 
Galway-Mayo Institute of Technology 
Garda Inspectorate 
Garda Ombudsman 
Gender Equality 
Grangegorman Development Agency 
Health and Safety Authority 
Health and Social Care Professionals Council 
Health Information and Quality Authority (HIQA) 
Health Insurance Authority 
Health Products Regulatory Authority (HPRA) 
Health Research Board (HRB) 
Health Service Executive 
Health Service National Partnership Forum (Lenus) 
Healthy Ireland 
Higher Education Authority (HEA) 
Horse Racing Ireland (HRI) 
Horse Sport Ireland 
Housing Agency",What is the function of the Health Information and Quality Authority (HIQA)?,The Health Information and Quality Authority (HIQA) is responsible for setting and monitoring standards for the quality and safety of health and social care services in Ireland.,https://www.gov.ie/en/search/?organisation=department-of-justice&page=10
163163,163163,"The rate at which we create new jobs may be slower which could put pressure on tax revenues.
And while currently low, the cost of borrowing and market sentiment can shift rapidly, as Ireland’s recent experience shows.
This Government is clear about the challenges posed by Brexit.
This is why we have been actively preparing for Brexit since before the Referendum in 2016. 
At all times we have sought to protect our citizens and support the economy, enterprise and jobs.
• Published two comprehensive Contingency Action Plans;
• Enhanced physical capacity at our ports and airports;
• Provided training and financial supports to increase our customs capacity; and
• Recruited 750 additional staff in key areas.
In addition, we have made up to €600 million available through the Future Growth Loan Scheme and Brexit Loan Scheme. 
This is already helping our businesses to mitigate the risks of Brexit.
However, our central scenario is for a No Deal Brexit.",What measures has the Government taken to prepare for Brexit?,"The Government has published two comprehensive Contingency Action Plans, enhanced physical capacity at ports and airports, provided training and financial supports to increase customs capacity, and recruited 750 additional staff in key areas to prepare for Brexit.",https://www.gov.ie/en/speech/b140d9-budget-2020-statement-of-the-minister-for-finance-and-public-expendi/
