,Unnamed: 0,question,true_answer,llama_7b_answer_x,llama_7b_human_answer,llama_7b_answer_y,llama_7b_human,llama_13b_answer,llama_13b_human_answer,msitra_7b_instruct_answer,mistra_7b_instruct_human_answer,answer,gpt3_turbo_instruct_human_answer,contexts
158,158,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund, announced by Minister O'Gorman on 03/10/2023, is designed to provide financial support to the LGBTI+ community to enable them to participate fully in Ireland's social, economic, cultural and political life. There are two streams of funding, Scheme A and Scheme B, which will provide either support for new initiatives or small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will remain open until 12pm on Wednesday 26 July 2023 and will be assessed according to criteria including strategic fit, strength of proposal, capacity of applicant organisation and value for money.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
159,159,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The purpose of the Community Support Fund is to provide funding to support LGBTI+ communities in Ireland to participate in social, economic, cultural, and political life. There are two streams of funding available - Scheme A for new initiatives and existing LGBTI+ NGOs, and Scheme B for small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. All applications for funding must be submitted electronically, and will be assessed on criteria such as strategic fit, strength of proposal, capacity of applicant organisation, and financial management. Applications for Funding will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
160,160,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund is designed to support the LGBTI+ community in Ireland and enable them to participate fully in Ireland's social, economic, cultural, and political life. The fund is made up of two streams of funding: Scheme A will support new initiatives and enable existing LGBTI+ NGOs to maintain and enhance existing services and initiatives, while Scheme B will provide small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will be assessed according to criteria such as strategic fit, strength of proposal, capacity of the applicant organisation to deliver the work programme, and financial management and value for money. All applications must be submitted electronically and will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
161,161,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund, announced by Minister O'Gorman on 03/10/2023, is designed to provide financial support to the LGBTI+ community to enable them to participate fully in Ireland's social, economic, cultural and political life. There are two streams of funding, Scheme A and Scheme B, which will provide either support for new initiatives or small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will remain open until 12pm on Wednesday 26 July 2023 and will be assessed according to criteria including strategic fit, strength of proposal, capacity of applicant organisation and value for money.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
162,162,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The purpose of the Community Support Fund is to provide funding to support LGBTI+ communities in Ireland to participate in social, economic, cultural, and political life. There are two streams of funding available - Scheme A for new initiatives and existing LGBTI+ NGOs, and Scheme B for small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. All applications for funding must be submitted electronically, and will be assessed on criteria such as strategic fit, strength of proposal, capacity of applicant organisation, and financial management. Applications for Funding will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
163,163,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund is designed to support the LGBTI+ community in Ireland and enable them to participate fully in Ireland's social, economic, cultural, and political life. The fund is made up of two streams of funding: Scheme A will support new initiatives and enable existing LGBTI+ NGOs to maintain and enhance existing services and initiatives, while Scheme B will provide small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will be assessed according to criteria such as strategic fit, strength of proposal, capacity of the applicant organisation to deliver the work programme, and financial management and value for money. All applications must be submitted electronically and will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
164,164,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund, announced by Minister O'Gorman on 03/10/2023, is designed to provide financial support to the LGBTI+ community to enable them to participate fully in Ireland's social, economic, cultural and political life. There are two streams of funding, Scheme A and Scheme B, which will provide either support for new initiatives or small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will remain open until 12pm on Wednesday 26 July 2023 and will be assessed according to criteria including strategic fit, strength of proposal, capacity of applicant organisation and value for money.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
165,165,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to provide small grants to community groups to enhance facilities in disadvantaged communities.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The purpose of the Community Support Fund is to provide funding to support LGBTI+ communities in Ireland to participate in social, economic, cultural, and political life. There are two streams of funding available - Scheme A for new initiatives and existing LGBTI+ NGOs, and Scheme B for small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. All applications for funding must be submitted electronically, and will be assessed on criteria such as strategic fit, strength of proposal, capacity of applicant organisation, and financial management. Applications for Funding will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
166,166,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to provide small grants to community groups to enhance facilities in disadvantaged communities.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund is designed to support the LGBTI+ community in Ireland and enable them to participate fully in Ireland's social, economic, cultural, and political life. The fund is made up of two streams of funding: Scheme A will support new initiatives and enable existing LGBTI+ NGOs to maintain and enhance existing services and initiatives, while Scheme B will provide small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will be assessed according to criteria such as strategic fit, strength of proposal, capacity of the applicant organisation to deliver the work programme, and financial management and value for money. All applications must be submitted electronically and will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
167,167,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to provide small grants to community groups to enhance facilities in disadvantaged communities.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The Community Support Fund, announced by Minister O'Gorman on 03/10/2023, is designed to provide financial support to the LGBTI+ community to enable them to participate fully in Ireland's social, economic, cultural and political life. There are two streams of funding, Scheme A and Scheme B, which will provide either support for new initiatives or small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. Applications for funding will remain open until 12pm on Wednesday 26 July 2023 and will be assessed according to criteria including strategic fit, strength of proposal, capacity of applicant organisation and value for money.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
168,168,What is the purpose of the Community Support Fund?,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups.,The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is provided by the Irish government and is aimed at supporting the LGBTI+ community. There,Yes,"The purpose of the Community Support Fund is to enhance facilities in disadvantaged communities by providing small grants to community groups. The funding is available through two streams: Scheme A, which supports new initiatives, and Scheme B",Yes,The purpose of the Community Support Fund is to provide small grants to community groups to enhance facilities in disadvantaged communities.,Yes,The Community Support Fund is a fund provided by the government to support facilities in disadvantaged communities by providing small grants to community groups. There are two streams of funding available: Scheme A and Scheme B. Scheme A is open,Yes,"The purpose of the Community Support Fund is to provide funding to support LGBTI+ communities in Ireland to participate in social, economic, cultural, and political life. There are two streams of funding available - Scheme A for new initiatives and existing LGBTI+ NGOs, and Scheme B for small grants to organisations for projects that promote visibility and inclusion of LGBTI+ persons. All applications for funding must be submitted electronically, and will be assessed on criteria such as strategic fit, strength of proposal, capacity of applicant organisation, and financial management. Applications for Funding will remain open until 12pm on Wednesday 26 July 2023.",,"['and to thank them for the vital work they do in providing services in their local\ncommunities.”\nList of the successful projects in Co. Wicklow. (https://www.gov.ie/en/collection/63c7a-\ncommunity-support-fund/)\nNotes\nCommunity Support Fund is targeted towards enhancing facilities in disadvantaged\ncommunities. It provides small grants to community groups in a manner consistent with\neach area’s Local Economic and Community Plan.\nThe Community Support Fund was launched in November 2022. The once-off fund is\nallocated under the department’s Community Enhancement Programme.\nThe funding is administered locally by Local Community Development Committees\n(https://www.gov.ie/en/policy-information/f4022e-local-community-development-\ncommittees-lcdcs/) (LCDCs) across the country, with support from their Local Authority.\nContact details for LCDCs are available. (https://www.gov.ie/en/publication/38066e-\nlocal-community-development-committees-list/)', 'State with responsibility for Community Development and Charities Joe O’Brien have\ntoday announced the successful projects in Co. Westmeath under the 2022 Community\nSupport Fund.\nThe 2022 Community Support Fund was launched in November 2022 with funding of\n€10 million available. €100,000 of this funding was ring-fenced speci\x00cally to support\nWomen’s Sheds. The key theme of the fund is to support groups, particularly in\ndisadvantaged areas, with their energy bills, as well as with improvements to their\nfacilities.\nThe Community Support Fund is a once off fund provided by the Department of Rural\nand Community Development and administered by Local Community Development\nCommittees, with support from the Local Authority, in each area.']"
